Customer ID,Age,Gender,Location,Income,Products Purchased/Interested In
143,31,Male,Suburban,27810,Mortgage
144,66,Male,Urban,39049,Investment Products
145,57,Female,Urban,63319,Mortgage
146,39,Male,Rural,-691,Credit Card
147,27,Male,Rural,22496,Savings Account
148,18,Male,Urban,60019,Credit Card
149,28,Female,Suburban,40395,Mortgage
150,68,Male,Urban,68722,Credit Card
151,61,Female,Rural,66183,Credit Card
152,76,Female,Rural,26038,Investment Products
153,41,Male,Suburban,58133,Mortgage
154,77,Female,Urban,74033,Investment Products
155,20,Female,Rural,52948,Mortgage
156,75,Male,Suburban,30450,Mortgage
157,52,Male,Rural,67587,Mortgage
158,80,Male,Suburban,62708,Investment Products
159,53,Male,Rural,60852,Investment Products
160,48,Male,Rural,64318,Investment Products
161,77,Female,Urban,-9892,Savings Account
162,21,Female,Suburban,67618,Credit Card
163,36,Female,Suburban,86162,Mortgage
164,64,Male,Rural,58732,Mortgage
165,53,Female,Urban,53854,Credit Card
166,38,Female,Rural,63928,Savings Account
167,35,Male,Rural,56764,Mortgage
168,68,Female,Rural,63035,Mortgage
169,45,Male,Suburban,50029,Investment Products
170,32,Male,Urban,34665,Savings Account
171,59,Male,Rural,29913,Investment Products
172,76,Male,Rural,30036,Savings Account
173,19,Female,Rural,22539,Mortgage
174,54,Female,Suburban,28645,Investment Products
175,28,Female,Rural,85225,Mortgage
176,40,Female,Suburban,65081,Mortgage
177,61,Female,Suburban,37499,Investment Products
178,58,Male,Suburban,42192,Credit Card
179,29,Female,Suburban,52251,Mortgage
180,20,Male,Suburban,36889,Savings Account
181,69,Female,Urban,51350,Savings Account
182,34,Female,Suburban,65552,Savings Account
183,50,Female,Suburban,49285,Mortgage
184,72,Female,Rural,56720,Mortgage
185,18,Female,Urban,67729,Investment Products
186,56,Male,Urban,44557,Savings Account
187,37,Male,Rural,55695,Credit Card
188,64,Female,Suburban,43812,Investment Products
189,60,Female,Urban,49429,Mortgage
190,69,Male,Suburban,43505,Investment Products
191,74,Male,Rural,39422,Savings Account
192,78,Female,Urban,53474,Credit Card
193,58,Female,Suburban,61330,Savings Account
194,31,Female,Urban,52926,Mortgage
195,48,Female,Urban,59974,Credit Card
196,42,Male,Suburban,35241,Credit Card
197,79,Male,Suburban,25925,Mortgage
198,20,Male,Urban,58340,Investment Products
199,21,Male,Rural,63757,Mortgage
200,48,Male,Urban,50997,Mortgage
201,52,Male,Rural,76960,Investment Products
202,61,Female,Urban,68153,Credit Card
203,31,Female,Suburban,103611,Savings Account
204,66,Male,Rural,45983,Savings Account
205,58,Male,Rural,30023,Savings Account
206,26,Male,Urban,35197,Mortgage
207,37,Male,Urban,38690,Mortgage
208,49,Female,Rural,59520,Savings Account
209,26,Female,Suburban,6838,Mortgage
210,44,Male,Rural,76371,Investment Products
211,20,Male,Rural,45214,Mortgage
212,74,Female,Suburban,45064,Savings Account
213,70,Male,Suburban,28413,Savings Account
214,21,Female,Urban,47715,Mortgage
215,62,Female,Urban,50264,Credit Card
216,79,Male,Urban,47561,Mortgage
217,32,Male,Suburban,56781,Credit Card
218,50,Female,Rural,38207,Investment Products
219,22,Female,Suburban,32083,Investment Products
220,21,Male,Urban,60966,Credit Card
221,63,Female,Rural,51973,Credit Card
222,29,Male,Urban,53943,Credit Card
223,78,Male,Rural,71180,Credit Card
224,40,Female,Suburban,29548,Investment Products
225,31,Female,Urban,32895,Investment Products
226,75,Male,Suburban,75144,Mortgage
227,63,Male,Suburban,20342,Savings Account
228,29,Female,Suburban,23811,Credit Card
229,74,Male,Rural,66357,Credit Card
230,34,Male,Suburban,54764,Credit Card
231,42,Male,Suburban,52104,Mortgage
232,47,Female,Rural,48166,Savings Account
233,39,Female,Suburban,50625,Credit Card
234,64,Female,Suburban,48157,Credit Card
235,43,Male,Suburban,77108,Mortgage
236,34,Female,Rural,42037,Credit Card
237,78,Female,Rural,46772,Savings Account
238,75,Male,Urban,85888,Savings Account
239,72,Male,Suburban,50550,Credit Card
240,71,Female,Rural,94640,Mortgage
241,79,Female,Suburban,47900,Savings Account
242,37,Female,Rural,77348,Mortgage
243,51,Female,Rural,16893,Savings Account
244,58,Male,Rural,53072,Investment Products
245,50,Female,Urban,18310,Savings Account
246,54,Female,Suburban,66889,Credit Card
247,77,Male,Rural,25742,Savings Account
248,77,Male,Suburban,55675,Credit Card
249,75,Female,Rural,44356,Savings Account
250,24,Female,Suburban,26835,Savings Account
251,39,Female,Suburban,17612,Savings Account
252,49,Female,Rural,39779,Credit Card
253,31,Female,Suburban,84812,Investment Products
254,25,Male,Urban,44130,Savings Account
255,74,Male,Urban,68344,Investment Products
256,42,Female,Suburban,48859,Savings Account
257,33,Male,Suburban,67534,Mortgage
258,59,Female,Rural,13461,Mortgage
259,36,Male,Rural,41936,Savings Account
260,58,Female,Suburban,68988,Credit Card
261,72,Female,Suburban,46734,Mortgage
262,33,Male,Suburban,48270,Credit Card
263,29,Female,Suburban,41390,Savings Account
264,56,Female,Urban,72987,Mortgage
265,65,Female,Suburban,55950,Investment Products
266,47,Female,Rural,50880,Credit Card
267,75,Female,Urban,62861,Credit Card
268,19,Female,Suburban,61764,Mortgage
269,49,Male,Rural,54251,Savings Account
270,72,Male,Urban,80940,Savings Account
271,62,Female,Suburban,48794,Investment Products
272,42,Female,Suburban,55561,Mortgage
273,79,Male,Suburban,37140,Credit Card
274,42,Male,Suburban,53002,Mortgage
275,21,Male,Urban,81755,Investment Products
276,36,Male,Rural,37134,Mortgage
277,65,Female,Suburban,27328,Mortgage
278,21,Female,Urban,69935,Investment Products
279,60,Male,Urban,47024,Savings Account
280,30,Male,Rural,51920,Savings Account
281,56,Male,Urban,49097,Credit Card
282,53,Male,Urban,51582,Mortgage
283,40,Female,Rural,67010,Investment Products
284,80,Male,Urban,33217,Investment Products
285,79,Male,Urban,29764,Mortgage
286,23,Male,Rural,51699,Mortgage
287,41,Female,Urban,17871,Investment Products
288,61,Female,Rural,22538,Investment Products
289,50,Female,Suburban,87333,Mortgage
290,29,Male,Suburban,65149,Savings Account
291,58,Female,Suburban,49798,Savings Account
292,38,Female,Suburban,74760,Credit Card
293,28,Male,Urban,29188,Credit Card
294,72,Female,Suburban,43687,Investment Products
295,61,Male,Rural,62469,Mortgage
296,55,Female,Rural,67813,Credit Card
297,79,Female,Rural,60258,Mortgage
298,46,Male,Rural,-824,Savings Account
299,65,Male,Suburban,30638,Savings Account
300,58,Female,Rural,59541,Savings Account
301,20,Female,Suburban,42880,Credit Card
302,45,Male,Rural,100804,Mortgage
303,37,Female,Rural,68531,Credit Card
304,43,Male,Suburban,61161,Investment Products
305,41,Male,Suburban,27661,Mortgage
306,71,Male,Urban,49294,Investment Products
307,69,Female,Urban,54824,Credit Card
308,64,Female,Urban,72555,Savings Account
309,38,Female,Rural,67622,Credit Card
310,71,Female,Rural,70659,Savings Account
311,47,Female,Rural,31521,Mortgage
312,21,Male,Urban,78243,Savings Account
313,53,Female,Urban,22391,Credit Card
314,57,Male,Urban,39281,Mortgage
315,27,Male,Rural,58615,Credit Card
316,27,Female,Suburban,47002,Investment Products
317,59,Male,Urban,29879,Credit Card
318,41,Female,Suburban,33569,Credit Card
319,21,Male,Rural,19034,Savings Account
320,64,Male,Urban,60639,Mortgage
321,44,Male,Rural,75211,Credit Card
322,68,Female,Suburban,47992,Investment Products
323,62,Female,Rural,41993,Savings Account
324,21,Female,Rural,20553,Credit Card
325,49,Female,Urban,68264,Mortgage
326,27,Male,Suburban,94226,Savings Account
327,28,Female,Urban,14050,Credit Card
328,45,Female,Rural,28731,Credit Card
329,63,Male,Rural,36408,Savings Account
330,25,Male,Suburban,38713,Mortgage
331,57,Female,Rural,54546,Investment Products
332,79,Male,Urban,82284,Mortgage
333,39,Female,Suburban,70171,Investment Products
334,51,Male,Rural,60551,Mortgage
335,62,Female,Urban,35521,Savings Account
336,52,Male,Urban,27607,Investment Products
337,52,Female,Suburban,34064,Savings Account
338,42,Male,Rural,80961,Credit Card
339,51,Female,Urban,48765,Savings Account
340,23,Female,Suburban,41063,Investment Products
341,58,Female,Urban,46324,Credit Card
342,54,Female,Rural,66492,Investment Products
343,18,Female,Urban,23743,Investment Products
344,29,Female,Rural,78297,Savings Account
345,52,Male,Urban,53129,Mortgage
346,23,Female,Rural,45673,Mortgage
347,80,Male,Urban,58856,Savings Account
348,71,Female,Urban,54367,Savings Account
349,80,Male,Suburban,43116,Mortgage
350,34,Female,Rural,44945,Mortgage
351,80,Male,Urban,32622,Savings Account
352,26,Female,Suburban,63127,Mortgage
353,79,Male,Urban,39360,Savings Account
354,19,Female,Suburban,30874,Savings Account
355,35,Male,Urban,53317,Savings Account
356,66,Male,Suburban,76582,Savings Account
357,53,Male,Rural,49033,Savings Account
358,74,Female,Urban,37837,Savings Account
359,45,Male,Rural,58077,Credit Card
360,58,Female,Rural,88734,Savings Account
361,70,Female,Suburban,20961,Savings Account
362,54,Female,Rural,57644,Credit Card
363,66,Female,Suburban,54101,Mortgage
364,43,Male,Suburban,73230,Savings Account
365,21,Female,Suburban,69818,Savings Account
366,57,Male,Suburban,46265,Credit Card
367,78,Female,Suburban,16309,Mortgage
368,53,Male,Urban,66131,Savings Account
369,68,Female,Urban,33296,Savings Account
370,48,Female,Rural,31065,Investment Products
371,47,Male,Urban,72967,Credit Card
372,67,Female,Suburban,31782,Mortgage
373,51,Female,Suburban,78056,Mortgage
374,36,Female,Urban,56716,Mortgage
375,35,Female,Rural,56382,Investment Products
376,47,Female,Rural,56145,Mortgage
377,38,Female,Urban,17231,Credit Card
378,79,Female,Suburban,14472,Credit Card
379,20,Female,Suburban,54311,Savings Account
380,23,Male,Rural,61360,Savings Account
381,55,Female,Urban,51652,Credit Card
382,30,Male,Suburban,33569,Mortgage
383,62,Female,Rural,50378,Savings Account
384,71,Male,Rural,48359,Savings Account
385,79,Male,Urban,30856,Mortgage
386,20,Male,Rural,70279,Savings Account
387,65,Female,Suburban,15394,Credit Card
388,45,Female,Rural,61774,Investment Products
389,39,Male,Rural,57686,Investment Products
390,57,Female,Rural,70194,Credit Card
391,57,Female,Urban,29893,Savings Account
392,29,Male,Suburban,52028,Credit Card
393,40,Female,Rural,93423,Savings Account
394,48,Male,Urban,63241,Savings Account
395,35,Male,Rural,52011,Credit Card
396,24,Female,Suburban,60783,Credit Card
397,25,Male,Rural,51723,Credit Card
398,36,Female,Urban,93817,Investment Products
399,46,Female,Rural,69672,Investment Products
400,61,Female,Rural,48287,Savings Account
401,37,Female,Rural,55046,Credit Card
402,67,Male,Urban,42184,Mortgage
403,59,Female,Rural,74197,Savings Account
404,47,Female,Rural,21877,Savings Account
405,64,Female,Urban,17905,Investment Products
406,39,Male,Urban,79174,Mortgage
407,27,Male,Suburban,93062,Mortgage
408,43,Female,Urban,59366,Investment Products
409,68,Female,Rural,52254,Savings Account
410,50,Female,Rural,63145,Investment Products
411,45,Female,Urban,37058,Mortgage
412,27,Female,Suburban,53424,Investment Products
413,46,Male,Urban,50778,Credit Card
414,61,Female,Suburban,62531,Credit Card
415,35,Male,Urban,18840,Savings Account
416,59,Male,Suburban,39859,Savings Account
417,76,Female,Suburban,66899,Investment Products
418,18,Male,Rural,36488,Credit Card
419,40,Female,Suburban,30132,Savings Account
420,34,Male,Rural,90841,Credit Card
421,60,Male,Urban,50762,Investment Products
422,54,Female,Urban,38421,Mortgage
423,48,Male,Urban,16152,Mortgage
424,42,Female,Urban,64586,Mortgage
425,70,Female,Urban,63982,Savings Account
426,21,Female,Rural,44024,Mortgage
427,69,Female,Urban,27955,Credit Card
428,26,Female,Suburban,49509,Investment Products
429,74,Female,Rural,33282,Credit Card
430,45,Male,Suburban,31158,Credit Card
431,47,Male,Rural,47935,Investment Products
432,77,Female,Suburban,28972,Investment Products
433,64,Male,Rural,54932,Credit Card
434,41,Male,Urban,62159,Credit Card
435,50,Female,Rural,33207,Investment Products
436,37,Male,Rural,22635,Mortgage
437,26,Female,Suburban,81225,Credit Card
438,25,Female,Rural,31194,Investment Products
439,41,Male,Rural,36801,Mortgage
440,31,Female,Urban,54260,Investment Products
441,76,Female,Suburban,61987,Credit Card
442,35,Female,Rural,44873,Savings Account
443,74,Female,Suburban,59215,Mortgage
444,70,Male,Rural,41980,Savings Account
445,73,Female,Rural,30576,Mortgage
446,18,Male,Suburban,78526,Mortgage
447,29,Female,Urban,99768,Savings Account
448,46,Male,Rural,83919,Credit Card
449,54,Male,Rural,52836,Credit Card
450,43,Female,Rural,86668,Credit Card
451,50,Male,Suburban,57114,Investment Products
452,60,Female,Urban,40454,Credit Card
453,32,Female,Rural,59327,Investment Products
454,40,Male,Rural,48112,Mortgage
455,46,Male,Rural,30337,Credit Card
456,38,Male,Suburban,32033,Mortgage
457,36,Male,Suburban,66041,Mortgage
458,22,Female,Suburban,13069,Investment Products
459,40,Male,Suburban,62082,Mortgage
460,53,Female,Urban,17408,Savings Account
461,76,Male,Suburban,7576,Savings Account
462,37,Male,Suburban,13223,Credit Card
463,25,Female,Rural,89335,Investment Products
464,26,Male,Suburban,46075,Mortgage
465,79,Female,Urban,51731,Credit Card
466,31,Male,Urban,78385,Investment Products
467,23,Male,Rural,68683,Savings Account
468,18,Female,Urban,22169,Investment Products
469,26,Female,Suburban,67380,Savings Account
470,33,Female,Suburban,53683,Investment Products
471,33,Female,Urban,43166,Investment Products
472,71,Female,Urban,50485,Savings Account
473,29,Female,Suburban,75596,Mortgage
474,22,Female,Rural,32280,Savings Account
475,57,Male,Suburban,58017,Investment Products
476,46,Female,Rural,49806,Savings Account
477,63,Male,Rural,14056,Credit Card
478,44,Male,Urban,33954,Credit Card
479,28,Female,Rural,53864,Credit Card
480,70,Male,Suburban,75946,Credit Card
481,64,Male,Suburban,70026,Savings Account
482,67,Female,Urban,61944,Savings Account
483,45,Male,Rural,33694,Mortgage
484,69,Female,Suburban,86024,Savings Account
485,53,Male,Rural,54304,Credit Card
486,59,Male,Suburban,29872,Mortgage
487,36,Female,Suburban,46341,Mortgage
488,71,Male,Suburban,67924,Investment Products
489,52,Male,Suburban,50152,Savings Account
490,69,Female,Urban,67737,Savings Account
491,48,Female,Urban,72073,Mortgage
492,71,Male,Rural,58010,Investment Products
493,76,Male,Rural,32845,Mortgage
494,61,Female,Urban,52709,Mortgage
495,73,Male,Suburban,50903,Savings Account
496,78,Female,Rural,87186,Credit Card
497,78,Female,Rural,17473,Investment Products
498,36,Male,Urban,47303,Mortgage
499,63,Female,Rural,38318,Savings Account
500,41,Female,Urban,56702,Investment Products
501,19,Male,Suburban,1248,Mortgage
502,24,Female,Rural,72298,Savings Account
503,60,Male,Suburban,50274,Investment Products
504,71,Male,Suburban,13105,Savings Account
505,66,Male,Urban,42777,Savings Account
506,48,Female,Suburban,62179,Savings Account
507,77,Male,Urban,18171,Mortgage
508,34,Male,Urban,50064,Credit Card
509,44,Male,Rural,28850,Mortgage
510,78,Male,Suburban,38880,Mortgage
511,53,Female,Urban,50534,Credit Card
512,76,Female,Rural,53669,Savings Account
513,67,Male,Urban,40585,Credit Card
514,60,Female,Suburban,55455,Mortgage
515,27,Female,Suburban,66359,Savings Account
516,62,Female,Rural,44421,Mortgage
517,31,Male,Rural,78631,Investment Products
518,75,Female,Rural,79244,Savings Account
519,24,Female,Rural,41425,Investment Products
520,56,Female,Rural,37243,Mortgage
521,57,Female,Suburban,16716,Savings Account
522,26,Female,Rural,47468,Mortgage
523,31,Male,Rural,42731,Investment Products
524,74,Female,Rural,65581,Savings Account
525,25,Female,Rural,19806,Credit Card
526,34,Male,Suburban,44452,Mortgage
527,74,Male,Suburban,69374,Credit Card
528,40,Male,Urban,35392,Savings Account
529,74,Male,Rural,34752,Savings Account
530,33,Female,Rural,21061,Credit Card
531,43,Female,Suburban,102411,Savings Account
532,26,Female,Suburban,35050,Investment Products
533,53,Female,Suburban,23993,Savings Account
534,24,Female,Rural,33922,Savings Account
535,35,Male,Urban,34514,Investment Products
536,25,Female,Urban,44612,Credit Card
537,38,Male,Suburban,66507,Mortgage
538,43,Male,Suburban,44033,Investment Products
539,20,Male,Suburban,31543,Mortgage
540,78,Female,Suburban,20973,Investment Products
541,34,Female,Urban,50437,Mortgage
542,74,Male,Urban,50850,Savings Account
543,68,Male,Suburban,80618,Savings Account
544,63,Male,Urban,51848,Credit Card
545,41,Male,Suburban,48019,Investment Products
546,42,Male,Urban,28986,Credit Card
547,22,Male,Rural,43880,Credit Card
548,54,Female,Rural,41230,Credit Card
549,62,Male,Urban,42596,Savings Account
550,67,Male,Suburban,30814,Investment Products
551,41,Male,Urban,60766,Investment Products
552,48,Male,Suburban,47151,Investment Products
553,72,Male,Suburban,45992,Investment Products
554,43,Female,Suburban,15719,Credit Card
555,38,Male,Suburban,59872,Investment Products
556,51,Female,Urban,59740,Credit Card
557,55,Male,Urban,33217,Credit Card
558,75,Male,Rural,69802,Investment Products
559,41,Female,Suburban,22704,Investment Products
560,45,Male,Rural,49562,Investment Products
561,47,Female,Urban,44575,Mortgage
562,51,Female,Urban,23656,Savings Account
563,69,Female,Suburban,53794,Credit Card
564,71,Female,Urban,84051,Investment Products
565,73,Female,Suburban,51352,Savings Account
566,69,Female,Rural,40739,Credit Card
567,40,Male,Suburban,58940,Investment Products
568,72,Female,Urban,52114,Mortgage
569,25,Male,Urban,50555,Mortgage
570,59,Male,Urban,41489,Savings Account
571,67,Female,Rural,78439,Investment Products
572,27,Female,Suburban,59127,Credit Card
573,72,Female,Rural,39426,Mortgage
574,18,Male,Urban,47839,Investment Products
575,37,Female,Suburban,35182,Investment Products
576,74,Female,Rural,37834,Investment Products
577,54,Male,Suburban,37185,Credit Card
578,35,Female,Urban,27313,Credit Card
579,38,Male,Rural,65545,Mortgage
580,71,Female,Suburban,44179,Mortgage
581,66,Male,Suburban,61082,Mortgage
582,21,Female,Urban,36597,Savings Account
583,80,Male,Urban,48792,Savings Account
584,60,Female,Urban,35779,Savings Account
585,19,Female,Rural,64393,Savings Account
586,38,Male,Rural,45031,Mortgage
587,54,Female,Suburban,35382,Mortgage
588,22,Female,Suburban,17165,Investment Products
589,34,Male,Rural,55513,Mortgage
590,66,Male,Suburban,35832,Credit Card
591,65,Female,Rural,49684,Investment Products
592,28,Male,Suburban,40165,Mortgage
593,63,Female,Rural,69083,Mortgage
594,58,Female,Suburban,60882,Mortgage
595,48,Male,Suburban,58944,Mortgage
596,45,Male,Rural,37677,Investment Products
597,61,Female,Urban,59325,Mortgage
598,49,Male,Rural,84296,Investment Products
599,38,Female,Rural,33356,Savings Account
600,24,Male,Urban,53446,Savings Account
601,27,Female,Suburban,17015,Investment Products
602,78,Female,Urban,77971,Mortgage
603,45,Female,Urban,42041,Investment Products
604,65,Female,Urban,65651,Investment Products
605,53,Female,Suburban,15535,Credit Card
606,37,Female,Rural,85950,Investment Products
607,30,Female,Urban,42862,Credit Card
608,36,Male,Suburban,60913,Credit Card
609,67,Male,Suburban,53016,Credit Card
610,28,Male,Rural,44890,Investment Products
611,52,Female,Rural,83715,Mortgage
612,51,Male,Urban,17039,Credit Card
613,61,Male,Suburban,55974,Investment Products
614,21,Male,Rural,68212,Savings Account
615,30,Male,Urban,49402,Credit Card
616,54,Female,Suburban,47636,Credit Card
617,76,Female,Suburban,47146,Credit Card
618,19,Male,Rural,25447,Credit Card
619,67,Female,Suburban,50762,Investment Products
620,18,Female,Suburban,60254,Savings Account
621,57,Female,Rural,51371,Credit Card
622,42,Female,Suburban,44554,Savings Account
623,76,Female,Suburban,40205,Credit Card
624,54,Male,Urban,44414,Savings Account
625,53,Female,Suburban,75154,Investment Products
626,23,Male,Rural,8267,Mortgage
627,24,Female,Suburban,50801,Savings Account
628,21,Male,Rural,43444,Savings Account
629,52,Male,Rural,79116,Credit Card
630,75,Female,Suburban,51109,Savings Account
631,58,Male,Rural,79698,Savings Account
632,78,Female,Urban,7522,Savings Account
633,51,Male,Rural,59191,Credit Card
634,46,Male,Urban,55601,Mortgage
635,22,Female,Rural,77810,Mortgage
636,44,Male,Suburban,17173,Credit Card
637,50,Female,Rural,46899,Mortgage
638,74,Male,Rural,51321,Credit Card
639,63,Female,Rural,40084,Credit Card
640,69,Male,Urban,74331,Investment Products
641,27,Male,Urban,43226,Savings Account
642,71,Female,Urban,90695,Credit Card
643,23,Female,Urban,71083,Mortgage
644,51,Male,Urban,69016,Credit Card
645,25,Female,Suburban,61185,Savings Account
646,79,Male,Rural,28726,Investment Products
647,48,Male,Rural,41378,Savings Account
648,26,Male,Suburban,61455,Mortgage
649,72,Female,Suburban,63551,Investment Products
650,38,Female,Suburban,76143,Mortgage
651,25,Female,Suburban,40651,Mortgage
652,21,Male,Urban,32796,Savings Account
653,39,Male,Rural,67182,Credit Card
654,45,Male,Suburban,33807,Credit Card
655,62,Female,Suburban,67466,Investment Products
656,21,Male,Rural,73994,Savings Account
657,56,Female,Suburban,59123,Investment Products
658,38,Female,Urban,42848,Credit Card
659,25,Female,Urban,50821,Investment Products
660,37,Female,Urban,61869,Credit Card
661,49,Female,Suburban,50203,Credit Card
662,18,Male,Rural,93965,Savings Account
663,23,Male,Suburban,30186,Investment Products
664,45,Male,Rural,29946,Credit Card
665,61,Male,Urban,30462,Mortgage
666,48,Female,Urban,38208,Investment Products
667,27,Female,Rural,6421,Savings Account
668,37,Female,Suburban,37406,Savings Account
669,25,Male,Suburban,36934,Credit Card
670,39,Male,Suburban,51570,Investment Products
671,55,Female,Urban,58356,Mortgage
672,46,Male,Suburban,25195,Savings Account
673,26,Male,Rural,68001,Credit Card
674,61,Male,Suburban,86044,Savings Account
675,64,Female,Suburban,45834,Savings Account
676,18,Male,Rural,81487,Savings Account
677,58,Female,Rural,53979,Mortgage
678,69,Male,Urban,89774,Mortgage
679,56,Female,Urban,72345,Mortgage
680,43,Male,Suburban,18721,Mortgage
681,28,Male,Suburban,50372,Mortgage
682,69,Female,Urban,71086,Mortgage
683,52,Female,Suburban,50610,Investment Products
684,77,Female,Suburban,49262,Credit Card
